frame,track_id,vehicle,confidence,center_x,center_y
39,13,car,0.319,436,413
39,28,car,0.743,987,678
40,131,car,0.695,742,562
40,117,car,0.531,612,545
40,158,car,0.441,716,531
40,162,car,0.585,514,519
40,27,car,0.443,314,558
40,14,car,0.405,876,429
40,173,car,0.579,786,509
40,175,car,0.338,715,515
40,176,car,0.745,1236,580
40,180,truck,0.32,315,559
40,13,car,0.343,436,413
40,184,car,0.346,396,531
41,131,car,0.614,744,560
41,117,car,0.535,615,536
41,158,car,0.406,716,527
41,162,car,0.778,512,517
41,14,car,0.402,876,429
41,173,car,0.581,787,507
41,13,car,0.395,436,413
41,184,car,0.36,396,531
42,131,car,0.706,742,562
42,162,car,0.6,510,514
42,14,car,0.359,876,429
42,13,car,0.35,436,413
42,1,car,0.763,743,656
43,131,car,0.398,732,559
43,14,car,0.313,876,427
43,13,car,0.406,436,413
43,195,car,0.688,636,559
43,196,car,0.7,801,557
44,131,car,0.469,724,551
44,13,car,0.389,436,413
44,195,car,0.702,624,556
44,196,car,0.778,778,558
45,131,car,0.545,716,536
45,13,car,0.347,436,412
45,196,car,0.704,750,557
45,52,car,0.572,131,625
45,117,car,0.595,619,538
45,158,car,0.39,716,520
45,162,car,0.628,516,522
46,131,car,0.77,722,533
46,13,car,0.34,436,412
46,117,car,0.41,620,527
46,27,car,0.337,317,560
46,195,car,0.806,600,574
47,13,car,0.345,436,412
47,117,car,0.654,617,508
47,61,car,0.642,705,512
47,14,car,0.314,876,429
47,196,car,0.787,736,561
48,13,car,0.348,436,412
48,66,car,0.694,358,635
48,175,car,0.688,694,499
49,13,car,0.354,435,411
49,234,car,0.781,684,470
49,37,car,0.831,1177,625
49,27,car,0.356,309,559
49,195,car,0.827,578,555
49,14,car,0.397,876,429
49,196,car,0.727,733,560
50,13,car,0.349,435,411
50,241,car,0.635,675,440
50,27,car,0.312,316,560
50,195,car,0.63,593,555
50,14,car,0.371,876,430
50,196,car,0.729,731,545
50,176,car,0.751,1220,589
50,173,car,0.633,790,514
51,13,car,0.305,435,412
51,14,car,0.35,875,426
51,243,car,0.846,743,608
51,173,car,0.594,781,504
51,158,car,0.644,716,510
52,13,car,0.304,436,411
52,14,car,0.329,875,428
52,175,car,0.464,689,485
52,176,car,0.764,1216,581
53,13,car,0.314,436,411
53,14,car,0.432,876,428
53,259,car,0.307,610,695
53,117,car,0.543,618,491
53,241,car,0.688,696,441
54,13,car,0.305,436,412
54,14,car,0.478,876,426
54,116,car,0.74,491,562
54,27,car,0.371,314,558
54,243,car,0.844,668,595
55,14,car,0.438,876,427
55,3,car,0.818,619,637
55,66,car,0.841,311,601
55,176,car,0.806,1214,597
56,14,car,0.5,876,426
56,66,car,0.544,325,575
56,259,car,0.313,608,695
56,13,car,0.327,436,408
56,243,car,0.776,704,586
57,14,car,0.417,876,426
57,13,car,0.351,436,407
57,37,car,0.778,1169,601
57,196,car,0.685,653,544
57,27,car,0.339,314,557
58,14,car,0.479,876,427
58,13,car,0.342,436,404
58,277,car,0.582,445,539
59,14,car,0.486,876,429
59,277,car,0.687,444,538
59,281,car,0.352,436,412
59,117,car,0.723,616,478
59,259,car,0.324,610,695
59,243,car,0.793,741,598
59,37,car,0.774,1178,581
59,27,car,0.318,316,559
60,14,car,0.482,876,429
60,277,car,0.608,443,537
60,281,car,0.386,435,407
60,284,car,0.633,1227,671
60,243,car,0.829,733,599
60,3,car,0.859,588,631
61,14,car,0.549,876,425
61,284,car,0.557,1227,659
61,13,car,0.326,437,401
62,14,car,0.545,876,425
62,13,car,0.36,439,399
62,259,car,0.336,610,695
62,27,car,0.594,321,556
62,277,car,0.69,442,536
63,14,car,0.356,876,425
63,294,car,0.352,842,698
63,27,car,0.402,321,556
63,277,car,0.696,442,536
63,241,car,0.81,719,444
64,14,car,0.465,876,427
64,294,car,0.305,844,698
64,27,car,0.481,322,556
64,277,car,0.647,441,535
64,298,car,0.615,1069,695
64,117,car,0.717,599,469
64,259,car,0.313,611,695
65,294,car,0.432,844,698
65,27,car,0.364,322,556
65,277,car,0.663,441,535
65,298,car,0.463,1062,692
65,117,car,0.529,587,469
65,259,car,0.42,612,695
66,294,car,0.448,843,698
66,277,car,0.649,441,535
66,298,car,0.518,1056,691
66,117,car,0.707,569,470
66,259,car,0.41,612,695
66,281,car,0.304,436,401
66,241,car,0.654,713,451
66,14,car,0.304,875,428
67,294,car,0.443,843,698
67,277,car,0.664,441,535
67,298,car,0.462,1052,690
67,259,car,0.409,612,695
67,27,car,0.678,320,557
68,294,car,0.369,849,697
68,298,car,0.492,1052,689
68,259,car,0.347,612,696
68,308,car,0.381,1132,697
69,294,car,0.436,845,697
69,298,car,0.403,1051,689
69,259,car,0.363,612,695
69,308,car,0.338,1131,696
69,117,car,0.641,541,463
69,241,car,0.664,740,449
69,277,car,0.685,440,533
69,27,car,0.403,322,557
70,294,car,0.435,844,698
70,298,car,0.454,1051,690
70,259,car,0.378,612,695
70,308,car,0.378,1131,697
70,277,car,0.65,441,535
70,27,car,0.405,321,557
70,158,car,0.525,727,475
70,14,car,0.346,878,437
71,294,car,0.396,847,697
71,298,car,0.49,1052,690
71,259,car,0.382,612,695
71,308,car,0.399,1132,697
71,277,car,0.695,442,535
71,27,car,0.407,318,557
71,316,car,0.34,434,411
71,175,car,0.717,650,451
71,117,car,0.724,541,469
72,294,car,0.755,827,676
72,298,car,0.579,1046,686
72,308,car,0.437,1132,697
72,277,car,0.599,442,535
72,27,car,0.333,316,557
72,316,car,0.326,434,411
72,117,car,0.463,546,464
72,1,car,0.68,604,667
73,294,car,0.758,826,677
73,298,car,0.52,1075,682
73,277,car,0.353,442,535
73,27,car,0.336,305,558
73,1,car,0.607,610,669
73,243,car,0.745,782,574
74,325,car,0.738,231,668
74,327,car,0.631,619,581
74,243,car,0.814,786,596
74,195,car,0.615,458,558
75,325,car,0.753,243,651
75,327,car,0.662,616,595
75,331,car,0.53,415,678
75,337,car,0.618,763,558
75,294,car,0.529,826,663
76,325,car,0.714,257,633
76,327,car,0.606,637,599
76,337,car,0.673,774,566
76,116,car,0.409,514,550
76,298,car,0.529,1041,674
76,1,car,0.578,609,672
76,195,car,0.659,446,585
77,325,car,0.774,265,620
77,327,car,0.673,626,592
77,259,car,0.491,606,698
78,325,car,0.685,273,607
78,327,car,0.636,628,566
78,352,car,0.736,232,671
78,3,car,0.723,600,622
78,116,car,0.69,494,554
79,325,car,0.671,281,596
79,327,car,0.748,627,560
79,352,car,0.796,239,670
79,357,car,0.761,900,557
79,116,car,0.722,501,552
79,277,car,0.424,442,537
79,337,car,0.347,784,562
79,298,car,0.763,998,662
80,327,car,0.615,624,558
80,357,car,0.714,924,573
80,116,car,0.695,512,540
80,277,car,0.525,442,536
80,337,car,0.849,786,576
80,316,car,0.32,435,405
81,327,car,0.782,625,554
81,357,car,0.82,945,599
81,116,car,0.756,495,553
81,277,car,0.362,443,536
81,337,car,0.737,767,563
81,370,car,0.751,881,559
81,27,car,0.367,315,557
82,327,car,0.513,627,554
82,116,car,0.735,494,558
82,277,car,0.425,443,536
82,337,car,0.774,758,559
82,370,car,0.691,902,562
82,375,bus,0.351,841,443
82,27,car,0.379,312,557
83,327,car,0.38,630,553
83,116,car,0.652,501,556
83,277,car,0.571,443,536
83,337,car,0.688,747,557
83,370,car,0.849,892,566
83,27,car,0.408,314,558
83,376,car,0.475,552,529
83,316,car,0.358,435,403
84,327,car,0.304,631,550
84,116,car,0.659,509,550
84,277,car,0.605,443,536
84,337,car,0.717,737,557
84,370,car,0.819,872,569
84,27,car,0.352,315,557
84,376,car,0.346,544,528
84,316,car,0.369,435,403
